op0,op1,op2,op3,op4,op5,op6,op7,op8,op9,op10,op11,op12,op13,op14,op15,op16,op17,op18,op19,power
1,6,6,9,8,13,6,8,3,5,2,2,6,8,6,12,2,9,2,5,10546.56
1,3,4,7,12,6,8,3,13,10,5,7,2,10,4,8,9,10,8,3,9588.77
1,6,2,4,13,9,2,5,9,9,13,9,13,5,9,11,3,12,2,13,9931.35
1,13,2,8,2,6,11,2,4,9,11,7,7,12,10,9,12,6,3,4,9560.21
1,9,9,9,13,13,9,8,6,6,7,9,3,4,10,13,2,13,13,6,9575.27
1,5,10,5,5,8,9,2,11,9,8,13,5,5,5,11,4,13,2,13,9536.41
1,12,13,7,8,2,5,11,2,10,13,9,4,2,4,10,12,2,6,3,9524.52
1,6,5,6,10,12,5,11,9,13,3,5,5,11,9,2,2,6,13,8,10389.63
1,4,2,3,5,9,5,2,6,3,5,5,2,7,13,2,12,3,5,2,9367.90
1,9,8,10,8,3,4,4,11,8,6,7,2,7,2,8,3,12,3,8,9535.27
1,2,3,7,7,6,4,11,12,2,9,7,13,6,2,5,5,2,9,4,10037.67
1,7,2,8,5,13,6,12,4,7,13,11,5,5,12,6,4,9,3,10,9835.61
1,10,7,13,2,9,13,2,6,5,11,2,9,3,12,6,11,2,2,3,9721.77
1,9,5,3,6,2,11,4,5,4,13,9,8,10,12,12,7,13,2,12,9653.99
1,2,3,4,9,2,5,9,11,8,3,2,9,8,12,2,4,9,2,4,9671.44
1,8,2,13,6,3,3,5,8,6,13,6,9,8,10,4,6,13,6,7,9717.25
1,11,10,4,2,5,4,10,3,11,9,4,10,7,2,13,12,10,5,5,9222.12
1,5,11,9,5,12,12,2,2,5,8,10,11,12,3,5,4,6,5,2,9203.16
1,4,10,10,3,3,3,8,5,10,11,5,12,6,8,2,7,3,3,9,9195.88
1,7,10,8,8,4,7,12,10,2,7,8,13,12,8,5,7,13,12,6,9756.25
1,3,6,7,7,6,5,9,6,10,11,10,4,7,2,6,3,9,12,2,10341.62
1,2,6,9,9,13,10,12,7,5,7,12,13,6,7,2,13,11,4,7,10114.94
1,10,8,13,7,8,10,11,9,13,12,4,11,3,4,12,5,12,11,2,9477.47
1,9,7,12,10,4,13,13,6,10,6,7,2,2,2,4,13,4,4,9,9407.51
1,2,4,5,4,9,12,13,4,6,11,8,7,13,8,12,5,6,6,5,9339.62
1,12,5,13,12,6,8,9,10,7,3,8,10,11,3,6,6,8,11,2,9552.01
1,11,6,12,4,2,13,13,12,5,5,2,10,4,6,3,8,4,12,4,9081.71
1,7,13,2,9,7,12,10,11,3,10,3,8,11,7,2,2,13,11,7,9857.94
1,3,6,9,2,12,5,5,13,4,10,2,6,8,7,10,5,10,11,12,9897.84
1,2,11,6,5,9,5,2,12,6,11,4,12,3,6,5,4,7,10,6,9531.20
1,2,12,7,5,8,4,12,5,5,2,6,10,12,2,11,9,6,10,10,9598.17
1,12,7,11,11,8,10,10,13,7,9,7,9,10,8,10,7,2,10,10,9663.68
1,5,5,4,5,8,9,9,7,5,2,8,2,2,4,12,9,3,7,10,9510.40
1,5,6,8,6,6,9,3,13,9,7,13,6,12,11,13,12,3,3,7,10206.43
1,8,8,2,9,3,2,10,2,11,2,13,13,13,9,5,5,12,5,2,9416.44
1,6,2,13,3,4,6,4,5,12,8,8,3,5,7,3,13,2,13,9,9877.04
1,8,7,5,12,11,8,11,11,4,7,13,5,6,13,3,11,7,3,6,9920.71
1,4,9,4,7,11,6,2,13,9,11,12,10,4,5,13,2,5,8,9,9683.91
1,5,8,12,11,4,10,9,7,2,8,6,12,4,11,4,3,3,6,12,9522.34
1,12,13,2,4,2,10,4,13,12,7,5,5,12,6,3,13,2,13,9,9404.10
1,11,10,10,5,10,8,2,4,7,8,13,3,4,3,12,9,11,13,7,9363.05
1,2,12,8,5,11,6,4,13,9,11,6,6,7,5,11,10,6,4,12,9768.30
1,12,5,13,5,7,6,9,2,13,9,11,8,10,8,8,6,13,7,10,9638.50
1,8,13,4,9,9,8,6,13,13,12,6,5,11,5,12,10,11,7,2,9495.25
1,7,11,8,10,12,9,8,13,10,3,6,5,6,7,11,3,11,11,4,10062.30
1,13,3,6,10,9,5,7,3,6,11,3,8,8,2,3,9,3,2,10,9544.66
1,5,13,11,8,6,6,12,9,13,9,8,11,4,12,4,2,13,2,6,9095.14
1,4,11,4,10,3,11,9,9,5,5,12,2,10,13,4,12,3,6,10,9371.77
1,13,13,13,2,6,13,4,9,10,6,4,5,4,2,3,10,13,2,8,9111.87
1,13,6,13,4,9,2,2,7,10,8,13,5,9,4,2,7,8,5,4,9309.45
